cy_id_old,cy_id_new,gps_north_degree,gps_north_minute,gps_east_degree,gps_east_minute,subdistrict,district
M-JKS-072,M-JKS-071-2,6,14.42,106,46.664,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-066,M-JKS-065,6,14.444,106,46.679,KEBAYORAN LAMA,JAKARTA SELATAN
M-TGR-081,M-TGR-081,6,10544,106,38605,TANGERANG,KOTA TANGERANG
M-JKS-068,M-JKS-068,6,14.451,106,46.681,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-024,M-JKS-024,6,17.115,106,50.459,PASAR MINGGU,JAKARTA SELATAN
M-TGR-082,M-TGR-081,6,10572,106,38575,TANGERANG,KOTA TANGERANG
M-TGR-054,M-TGR-054,6,9187,106,36679,PERIUK,KOTA TANGERANG
M-JKS-093,M-JKS-085,6,17.1,106,50.455,PASAR MINGGU,JAKARTA SELATAN
M-JKS-092,M-JKS-085,6,17.115,106,50.46,PASAR MINGGU,JAKARTA SELATAN
M-TGR-104,M-TGR-104,6,13487,106,41182,PINANG,KOTA TANGERANG
D-BGR-247,D-BGR-247,6,42.855,106,49.63,CARINGIN,BOGOR
M-TGR-090,M-TGR-090,6,12.712,106,36.456,CIBODAS,KOTA TANGERANG
D-BGR-163,D-BGR-163,6,44.743,106,47.037,CIGOMBONG,BOGOR
M-JKS-003,M-JKS-003,6,14.395,106,46.649,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-071,M-JKS-071-1,6,14.494,106,46.654,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-073,M-JKS-071-3,6,14.41,106,46.662,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-060,M-JKS-057,6,14.418,106,46.667,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-069,M-JKS-069,6,14.419,106,46.669,KEBAYORAN LAMA,JAKARTA SELATAN
M-JKS-074,M-JKS-071-4,6,14.447,106,46.675,KEBAYORAN LAMA,JAKARTA SELATAN
D-BGR-211,D-BGR-211,6,26.703,106,41.429,PARUNG,BOGOR
D-BGR-206,D-BGR-206,6,27.219,106,42.187,CISEENG,BOGOR
M-BKS-020,M-BKS-016,6,20.242,106,56.529,JATIASIH,KOTA BEKASI
M-BKS-084,M-BKS-084,6,21.815,106,55.531,JATISAMPURNA,KOTA BEKASI
D-BGR-209,D-BGR-209,6,25.671,106,41.584,PARUNG,BOGOR
D-BGR-214,D-BGR-214,6,34.493,106,38.352,CIBUNGBULANG,BOGOR
D-BGR-216,D-BGR-214,6,34.135,106,39.302,CIBUNGBULANG,BOGOR
D-BGR-173,D-BGR-173,6,34.402,106,37.943,CIBUNGBULANG,BOGOR
M-JKS-043,M-JKS-047,6,15.519,106,47.463,KEBAYORAN BARU,JAKARTA SELATAN
M-JKS-047,M-JKS-047,6,15.509,106,47.468,KEBAYORAN BARU,JAKARTA SELATAN
M-JKS-090,M-JKS-085,6,17.42,106,50.289,PASAR MINGGU,JAKARTA SELATAN
D-BKS-067,D-BKS-065,6,15.387,107,8.766,CIKARANG UTARA,BEKASI
M-TGR-049,M-TGR-049,6,14.336,106,42.339,CILEDUG,KOTA TANGERANG
M-JKS-045,M-JKS-045,6,15.519,106,47.465,KEBAYORAN BARU,JAKARTA SELATAN
M-JKS-064,M-JKS-064,6,14.432,106,46.669,KEBAYORAN LAMA,JAKARTA SELATAN
M-TGR-123,M-TGR-123,6,14.126,106,42.242,CILEDUG,KOTA TANGERANG
M-JKS-042,M-JKS-047,6,15.512,106,47.466,KEBAYORAN BARU,JAKARTA SELATAN
M-JKS-046,M-JKS-047,6,15.514,106,47.467,KEBAYORAN BARU,JAKARTA SELATAN
M-TGR-047,M-TGR-047,6,13.509,106,42.443,CILEDUG,KOTA TANGERANG
M-TGR-050,M-TGR-049,6,14338,106,42291,CILEDUG,KOTA TANGERANG
D-BKS-021,D-BKS-020,6,16.782,107,3.361,TAMBUN SELATAN,BEKASI
M-TGR-052,M-TGR-049,6,14258,106,43051,CILEDUG,KOTA TANGERANG
M-JKS-100,M-JKS-097,6,13.027,106,51.757,TEBET,JAKARTA SELATAN
D-BKS-051,D-BKS-051,6,15.222,107,14.602,KEDUNGWARINGIN,BEKASI
D-BKS-049,D-BKS-048,6,14.765,107,15.217,KEDUNGWARINGIN,BEKASI
D-BKS-066,D-BKS-065,6,15.388,107,8.764,CIKARANG UTARA,BEKASI
M-JKS-101,M-JKS-097,6,13.658,106,51.514,TEBET,JAKARTA SELATAN
D-BKS-068,D-BKS-065,6,15.413,107,8.762,CIKARANG UTARA,BEKASI
M-JKS-018,M-JKS-015,6,13.018,106,51.771,TEBET,JAKARTA SELATAN
M-JKS-017,M-JKS-015,6,13.018,106,51.77,TEBET,JAKARTA SELATAN
D-BGR-243,D-BGR-236,6,41.36,106,52.163,CIAWI,BOGOR
M-JKS-020,M-JKS-015,6,13.056,106,51.721,TEBET,JAKARTA SELATAN
M-JKS-019,M-JKS-015,6,13.016,106,51.776,TEBET,JAKARTA SELATAN
M-JKS-011,M-JKS-010,6,20.213,10,49.743,JAGAKARSA,JAKARTA SELATAN
M-JKS-013,M-JKS-010,6,20.203,106,49.762,JAGAKARSA,JAKARTA SELATAN
M-JKS-014,M-JKS-014,6,18.977,106,50.268,JAGAKARSA,JAKARTA SELATAN
D-BKS-025,D-BKS-025,6,6.546,107,1.186,TARUMAJAYA,BEKASI
M-TGR-108,M-TGR-108,6,12622,106,39877,PINANG,KOTA TANGERANG
M-JKS-010,M-JKS-010,6,20.212,106,49.757,JAGAKARSA,JAKARTA SELATAN
M-JKS-085,M-JKS-085,6,19.496,106,48.506,JAGAKARSA,JAKARTA SELATAN
M-JKS-007,M-JKS-007,6,19.873,106,50.011,JAGAKARSA,JAKARTA SELATAN
M-TGR-038,M-TGR-038,6,13.1,106,35.203,JATI UWUNG,KOTA TANGERANG
D-BGR-218,D-BGR-218,6,33.729,106,38.471,CIBUNGBULANG,BOGOR
D-BKS-032,D-BKS-032,6,7.85,106,58.537,TARUMAJAYA,BEKASI
M-JKS-086,M-JKS-086,6,20.226,106,49.745,JAGAKARSA,JAKARTA SELATAN
M-TGR-122,M-TGR-122,6,13487,106,41182,PINANG,KOTA TANGERANG
M-TGR-026,M-TGR-026,6,14340,106,42284,PINANG,KOTA TANGERANG
D-BKS-011,D-BKS-011,6,11.191,107,1.185,BABELAN,BEKASI
M-JKS-023,M-JKS-023,6,17.43,106,50.299,PASAR MINGGU,JAKARTA SELATAN
D-BKS-045,D-BKS-045,6,15.993,107,16.349,KEDUNGWARINGIN,BEKASI
D-TGR-258,D-TGR-258,6,18649,106,43436,CIPUTAT,KOTA TANGERANG SELATAN
D-TGR-260,D-TGR-260,6,15550,106,41597,PONDOK AREN,KOTA TANGERANG SELATAN
D-TGR-261,D-TGR-260,6,15566,106,41068,PONDOK AREN,KOTA TANGERANG SELATAN
D-TGR-252,D-TGR-252,6,21.402,106,44.87,PAMULANG,KOTA TANGERANG SELATAN
M-JKT-044,M-JKT-012,6,11.45,106,54.304,PULO GADUNG,JAKARTA TIMUR
M-JKT-042,M-JKT-012,6,11.452,106,54.284,PULO GADUNG,JAKARTA TIMUR
M-JKT-043,M-JKT-012,6,11.451,106,54.297,PULO GADUNG,JAKARTA TIMUR
M-BKS-014,M-BKS-008,6,18.436,106,56.041,PONDOK MELATI,KOTA BEKASI
M-JKT-067,M-JKT-066,6,12.493,106,52.203,MATRAMAN,JAKARTA TIMUR
D-TGR-080,D-TGR-080,6,18.894,106,44.181,PAMULANG,KOTA TANGERANG SELATAN
D-TGR-041,D-TGR-041,6,6.834,106,36.167,SEPATAN TIMUR,TANGERANG
M-JKU-061,M-JKU-061,6,6.605,106,56.912,CILINCING,JAKARTA UTARA
