marketCode,name,address,LS_Coord_Deg,LS_Coord_Min,BT_Coord_Deg,BT_Coord_Min
M-DPK-009,H. Deden,Jl. Jatimulya,6,26.734,106,49.721
M-DPK-010,Drs. DJ. Galingging,Cisalak,6,22.645,106,52.087
M-DPK-013,Maman Rohman,Jl. Bunga Komp. HBTB,6,23.206,106,53.376
M-DPK-015,Sujarno,Jl. Arif Rahman Hakim / Jl/ Margonda Raya,6,23.18,106,49.501
M-DPK-018,Pasar Pasir Gunung Selatan,Jl Raya Bogor,6,21.506,106,51.519
M-DPK-019,Pasar Segar Depok,Jl. Tole Iskandar kav.59,,24.135,106,50.045
M-JKB-011,Lurah,Cengkareng Barat,6,8.981,106,43.298
M-JKB-021,Ahmadi,Jl. Jembatan Besi,6,9.051,106,47.826
M-JKB-025,Mansyur,Komp. Taman Meruya Ilir Blok. A,6,8.93,106,45.933
M-JKB-028,"Sugeng Purnomo, SH",Kedoya,6,9.833,106,45.871
M-JKB-029,Ahmad,Jelabar,6,9.593,106,46.75
M-JKB-033,Pasar Jelambar,Kav Polri Jelambar Grogol Petamburan,6,9.633,106,46.718
M-JKB-034,Pasar Cengkareng,Jl Raya Daan Mogot,6,9.264,106,43.767
M-JKB-035,PD Slipi,Jl. Anggrek Garuda,6,9.598,106,46.749
M-JKP-001,PD. Pasar Jaya,Jl. AM. Semanggi,6,9.738,106,48.727
M-JKP-003,PD. Pasar Jaya,Komp. Rawa Kerbau Jl. Rawa Sari Selatan No. 1,6,11.11,106,52.356
M-JKP-004,PD. Pasar Jaya,Jl. Cempaka Putih Barat IV,6,10.472,106,51.497
M-JKP-011,Pasar Gembrong Lama,Jl. Rawa Selatan,6,10.69,106,51.303
M-JKP-012,Pasar Johar Baru,Jl.Percetakan Negara,6,11.133,106,51.345
M-JKP-019,PD. Pasar Jaya,Jl. Pasar Senen Raya,6,10.509,106,50.57
M-JKP-023,PD. Pasar Jaya,Jl. Sumur Batu,6,9.901,106,57.861
M-JKP-024,PD. Pasar Jaya,Jl. Serdang,6,9.41,106,51.838
M-JKP-025,Pasar Cikini,Jl. Cikini,6,11.867,106,50.507
